,weekendingdate,jurisdiction,totalconfc19newadm,totalconfc19newadmadult,totalconfc19newadmped,totalconfflunewadm,numconfc19newadmped0to4,numconfc19newadmped5to17,numconfc19newadmadult18to49,numconfc19newadmunk,totalconfflunewadmadult,totalconfflunewadmped,totalconfrsvnewadm,totalconfrsvnewadmadult,totalconfrsvnewadmped,numconfc19newadmadult50to64,numconfc19newadmadult65to74,numconfc19newadmadult75plus,numconfflunewadmped0to4,numconfflunewadmped5to17,numconfflunewadmadult18to49,numconfflunewadmadult50to64,numconfflunewadmadult65to74,numconfflunewadmadult75plus,numconfflunewadmunk,numconfrsvnewadmped0to4,numconfrsvnewadmped5to17,numconfrsvnewadmadult18to49,numconfrsvnewadmadult50to64,numconfrsvnewadmadult65to74,numconfrsvnewadmadult75plus,numconfrsvnewadmunk
0,2023-08-12,WA,228.0,220.0,8.0,17.0,7.0,1.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1,2023-08-12,WI,143.0,133.0,10.0,5.0,2.0,1.0,10.0,19.0,,,,,,,,,,,,,,,,,,,,,,
2,2023-08-12,WV,54.0,53.0,1.0,0.0,1.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,
3,2023-08-12,WY,12.0,12.0,0.0,1.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,
4,2023-08-19,AK,20.0,19.0,1.0,2.0,1.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
5,2023-08-19,AL,423.0,402.0,21.0,7.0,18.0,3.0,72.0,2.0,,,,,,,,,,,,,,,,,,,,,,
6,2023-08-19,AR,182.0,173.0,9.0,7.0,4.0,3.0,24.0,3.0,,,,,,,,,,,,,,,,,,,,,,
7,2023-08-19,AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8,2023-08-19,AZ,213.0,206.0,7.0,6.0,6.0,1.0,23.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,2023-08-19,CA,2422.0,2328.0,94.0,31.0,58.0,29.0,410.0,88.0,,,,,,,,,,,,,,,,,,,,,,
10,2023-08-19,CO,155.0,148.0,7.0,0.0,6.0,1.0,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,
11,2023-08-19,CT,190.0,187.0,3.0,4.0,2.0,1.0,12.0,4.0,,,,,,,,,,,,,,,,,,,,,,
12,2023-08-19,DC,35.0,28.0,7.0,1.0,4.0,3.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,
