weekendingdate,jurisdiction,totalconfc19newadm,totalconfc19newadmadult,totalconfc19newadmped,totalconfflunewadm,totalconfflunewadmadult,totalconfflunewadmped,totalconfrsvnewadm,totalconfrsvnewadmadult,totalconfrsvnewadmped,numconfc19newadmped0to4,numconfc19newadmped5to17,numconfc19newadmadult18to49,numconfc19newadmunk,numconfc19newadmadult50to64,numconfc19newadmadult65to74,numconfc19newadmadult75plus,numconfflunewadmped0to4,numconfflunewadmped5to17,numconfflunewadmadult18to49,numconfflunewadmadult50to64,numconfflunewadmadult65to74,numconfflunewadmadult75plus,numconfflunewadmunk,numconfrsvnewadmped0to4,numconfrsvnewadmped5to17,numconfrsvnewadmadult18to49,numconfrsvnewadmadult50to64,numconfrsvnewadmadult65to74,numconfrsvnewadmadult75plus,numconfrsvnewadmunk
2024-06-08,PA,126.0,118.0,8.0,59.0,6.0,1.0,0.0,0.0,0.0,7.0,0.0,16.0,5.0,,,,,,,,,,,,,,,,,
2024-06-08,PR,19.0,16.0,3.0,9.0,3.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,RI,15.0,15.0,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,Region 1,103.0,102.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,Region 10,227.0,221.0,6.0,58.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,21.0,3.0,,,,,,,,,,,,,,,,,
2024-06-08,Region 2,436.0,416.0,20.0,39.0,3.0,6.0,0.0,0.0,0.0,13.0,3.0,52.0,13.0,,,,,,,,,,,,,,,,,
2024-06-08,Region 3,217.0,204.0,13.0,87.0,7.0,1.0,0.0,0.0,0.0,11.0,1.0,22.0,5.0,,,,,,,,,,,,,,,,,
2024-06-08,Region 4,366.0,362.0,4.0,146.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,42.0,4.0,,,,,,,,,,,,,,,,,
2024-06-08,Region 5,297.0,279.0,18.0,25.0,1.0,0.0,1.0,0.0,1.0,11.0,0.0,30.0,15.0,,,,,,,,,,,,,,,,,
2024-06-08,Region 6,67.0,65.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,,,,,,,,,,,,,,,,,
2024-06-08,Region 7,48.0,42.0,6.0,10.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,
2024-06-08,Region 8,80.0,74.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,15.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,Region 9,748.0,726.0,22.0,114.0,2.0,0.0,1.0,1.0,0.0,7.0,10.0,102.0,19.0,,,,,,,,,,,,,,,,,
2024-06-08,SC,17.0,14.0,3.0,28.0,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,SD,5.0,4.0,1.0,0.0,,,,,,1.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,TN,16.0,16.0,0.0,17.0,,,,,,0.0,0.0,3.0,4.0,,,,,,,,,,,,,,,,,
2024-06-08,TX,7.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,USA,2589.0,2491.0,98.0,511.0,24.0,7.0,4.0,3.0,1.0,57.0,20.0,307.0,64.0,,,,,,,,,,,,,,,,,
2024-06-08,UT,34.0,30.0,4.0,0.0,,,,,,2.0,2.0,6.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,VA,41.0,40.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,VI,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,VT,2.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,WA,157.0,155.0,2.0,39.0,,,1.0,1.0,0.0,2.0,0.0,21.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,WI,51.0,43.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,13.0,,,,,,,,,,,,,,,,,
2024-06-08,WV,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-08,WY,6.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,AK,15.0,15.0,0.0,3.0,,,,,,0.0,0.0,3.0,4.0,,,,,,,,,,,,,,,,,
2024-06-15,AL,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,AR,20.0,17.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,
2024-06-15,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15,AZ,130.0,125.0,5.0,69.0,3.0,0.0,2.0,2.0,0.0,4.0,1.0,15.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,CA,754.0,739.0,15.0,58.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,98.0,25.0,,,,,,,,,,,,,,,,,
2024-06-15,CO,20.0,18.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,CT,72.0,70.0,2.0,2.0,,,0.0,0.0,0.0,0.0,2.0,8.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,DC,11.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,DE,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,FL,325.0,314.0,11.0,80.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,47.0,4.0,,,,,,,,,,,,,,,,,
2024-06-15,GA,18.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,GU,1.0,1.0,0.0,3.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,HI,54.0,52.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,IA,20.0,17.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,
2024-06-15,ID,11.0,11.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,IL,99.0,95.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,5.0,,,,,,,,,,,,,,,,,
2024-06-15,IN,49.0,49.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,KS,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,KY,23.0,20.0,3.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,9.0,,,,,,,,,,,,,,,,,
2024-06-15,LA,37.0,36.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,15.0,,,,,,,,,,,,,,,,,
2024-06-15,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15,MD,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,ME,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,MI,88.0,84.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15,MO,41.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,,,,,,,,,,,,,,,,,
2024-06-15,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15,MS,8.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,MT,13.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,NC,1.0,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,NE,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,NH,2.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,NJ,194.0,188.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,33.0,1.0,,,,,,,,,,,,,,,,,
2024-06-15,NM,5.0,3.0,2.0,0.0,,,,,,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,NV,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,NY,184.0,175.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,16.0,7.0,,,,,,,,,,,,,,,,,
2024-06-15,OH,39.0,36.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,
2024-06-15,OK,12.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,
