weekendingdate,jurisdiction,totalconfc19newadm,totalconfc19newadmadult,totalconfc19newadmped,totalconfflunewadm,numconfc19newadmped0to4,numconfc19newadmped5to17,numconfc19newadmadult18to49,numconfc19newadmunk,totalconfflunewadmadult,totalconfflunewadmped,totalconfrsvnewadm,totalconfrsvnewadmadult,totalconfrsvnewadmped,numconfc19newadmadult50to64,numconfc19newadmadult65to74,numconfc19newadmadult75plus,numconfflunewadmped0to4,numconfflunewadmped5to17,numconfflunewadmadult18to49,numconfflunewadmadult50to64,numconfflunewadmadult65to74,numconfflunewadmadult75plus,numconfflunewadmunk,numconfrsvnewadmped0to4,numconfrsvnewadmped5to17,numconfrsvnewadmadult18to49,numconfrsvnewadmadult50to64,numconfrsvnewadmadult65to74,numconfrsvnewadmadult75plus,numconfrsvnewadmunk
2021-03-20,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-27,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-22,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-11,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-18,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-13,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-22,VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-02,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-18,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-15,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-29,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-21,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-05,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-24,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-15,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-07,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-10,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-18,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-01,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-06,USA,46245.0,43117.0,3128.0,486.0,1250.0,811.0,8929.0,2428.0,,,,,,,,,,,,,,,,,,,,,,
2022-06-18,USA,31764.0,30238.0,1526.0,1775.0,800.0,578.0,6558.0,831.0,,,,,,,,,,,,,,,,,,,,,,
2023-02-18,USA,26086.0,24934.0,1152.0,1906.0,591.0,455.0,3819.0,736.0,,,,,,,,,,,,,,,,,,,,,,
2023-07-22,USA,8392.0,8016.0,376.0,645.0,212.0,124.0,1166.0,287.0,,,,,,,,,,,,,,,,,,,,,,
2023-04-08,USA,14915.0,14316.0,599.0,1198.0,312.0,217.0,2145.0,407.0,,,,,,,,,,,,,,,,,,,,,,
2021-08-07,USA,70786.0,69153.0,1633.0,350.0,,,22321.0,3320.0,,,,,,,,,,,,,,,,,,,,,,
2023-08-26,USA,19684.0,18700.0,984.0,792.0,549.0,369.0,2674.0,1649.0,,,,,,,,,,,,,,,,,,,,,,
2021-05-15,USA,28333.0,27574.0,759.0,274.0,,,8715.0,1134.0,,,,,,,,,,,,,,,,,,,,,,
2022-12-03,USA,35746.0,34267.0,1479.0,26812.0,869.0,424.0,5498.0,1043.0,,,,,,,,,,,,,,,,,,,,,,
