weekendingdate,jurisdiction,totalconfc19newadm,totalconfc19newadmadult,totalconfc19newadmped,totalconfflunewadm,numconfc19newadmadult18to49,numconfc19newadmunk,numconfc19newadmped5to17,numconfc19newadmped0to4,totalconfflunewadmadult,totalconfflunewadmped,totalconfrsvnewadm,totalconfrsvnewadmadult,totalconfrsvnewadmped,numconfc19newadmadult50to64,numconfc19newadmadult65to74,numconfc19newadmadult75plus,numconfflunewadmped0to4,numconfflunewadmped5to17,numconfflunewadmadult18to49,numconfflunewadmadult50to64,numconfflunewadmadult65to74,numconfflunewadmadult75plus,numconfflunewadmunk,numconfrsvnewadmped0to4,numconfrsvnewadmped5to17,numconfrsvnewadmadult18to49,numconfrsvnewadmadult50to64,numconfrsvnewadmadult65to74,numconfrsvnewadmadult75plus,numconfrsvnewadmunk
2020-08-08,AZ,1658,1645,13,NA,209,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-15,AZ,1473,1467,6,NA,161,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-22,AZ,1292,1285,7,NA,163,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-29,AZ,700,693,7,NA,135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-05,AZ,1008,988,20,NA,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-12,AZ,537,533,4,NA,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-19,AZ,657,657,0,NA,78,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-26,AZ,788,786,2,NA,78,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-05,AZ,93,93,0,40,11,0,0,0,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-12,AZ,17,17,0,4,3,0,0,0,4,0,0,0,0,4,5,5,0,0,0,1,1,2,0,0,0,0,0,0,0,0
2024-10-19,AZ,59,45,1,14,6,13,1,0,14,0,0,0,0,2,15,22,0,0,2,7,2,3,0,0,0,0,0,0,0,0
2024-10-26,AZ,435,430,5,187,51,0,4,1,186,1,0,0,0,76,131,172,0,1,60,61,44,21,0,0,0,0,0,0,0,0
2024-11-02,AZ,462,456,4,141,41,2,4,0,126,14,0,0,0,59,102,254,1,13,45,30,39,12,1,0,0,0,0,0,0,0
2024-11-09,AZ,532,529,3,272,74,0,3,0,253,19,7,2,5,72,89,294,11,8,77,76,38,62,0,5,0,0,0,1,1,0
2024-11-16,AZ,688,665,14,356,89,9,6,8,340,12,6,5,1,84,151,341,4,8,56,75,82,127,4,1,0,0,0,1,4,0
2024-11-23,AZ,787,760,18,488,132,9,9,9,456,28,31,7,24,122,185,321,6,22,116,78,118,144,4,21,3,1,0,3,3,0
2024-11-30,AZ,757,739,17,558,101,1,8,9,520,38,21,8,13,121,173,344,23,15,147,79,114,180,0,12,1,2,2,2,2,0
2024-12-07,AZ,858,847,9,882,60,2,1,8,822,60,62,20,42,140,192,455,28,32,178,210,147,287,0,35,7,4,2,2,12,0
2024-12-14,AZ,763,744,19,1023,90,0,10,9,899,124,58,31,27,91,153,410,36,88,226,154,180,339,0,18,9,4,1,9,17,0
2024-12-21,AZ,771,755,15,1534,103,1,10,5,1414,119,139,61,78,91,145,416,63,56,292,325,284,513,1,67,11,21,13,9,18,0
2024-12-28,AZ,795,783,12,2340,83,0,1,11,2228,111,163,58,104,88,152,460,70,41,421,417,498,892,1,88,16,7,25,10,16,1
2025-01-04,AZ,729,720,9,2846,79,0,1,8,2745,100,208,105,102,103,150,388,57,43,459,612,627,1047,1,98,4,13,34,20,38,1
2025-01-11,AZ,491,475,16,1483,53,0,3,13,1397,85,272,148,121,83,93,246,46,39,283,247,333,534,1,108,13,26,23,41,58,3
2025-01-18,AZ,452,447,5,1077,73,0,0,5,1031,46,257,123,134,57,125,192,29,17,173,227,245,386,0,113,21,11,19,30,63,0
2025-01-25,AZ,312,310,2,999,33,0,0,2,913,86,257,122,134,41,56,180,43,43,161,180,215,357,0,115,19,24,25,32,41,1
2025-02-01,AZ,411,401,10,836,48,0,0,10,771,64,351,155,192,52,101,200,38,26,141,138,180,312,1,166,26,33,25,31,66,4
2025-02-08,AZ,317,301,16,836,32,0,6,10,760,76,426,188,238,44,72,153,33,43,118,146,180,316,0,209,29,38,47,38,65,0
2025-02-15,AZ,324,314,10,711,21,0,2,8,641,70,426,206,219,59,66,168,31,39,115,123,175,228,0,187,32,37,48,57,64,1
2025-02-22,AZ,271,261,10,647,28,0,3,7,585,62,473,265,206,48,67,118,32,30,117,92,151,225,0,167,39,59,51,48,107,2
2025-03-01,AZ,279,274,4,657,17,1,1,3,601,56,386,240,145,41,59,157,18,38,138,114,98,251,0,126,19,47,48,48,97,1
2025-03-08,AZ,227,224,3,499,17,0,2,1,459,40,315,197,116,26,40,141,9,31,78,74,102,205,0,92,24,22,44,44,87,2
2025-03-15,AZ,179,174,5,393,22,0,1,4,358,33,295,209,86,29,59,64,19,14,54,83,87,134,2,71,15,32,56,52,69,0
2025-03-22,AZ,199,192,7,346,34,0,1,6,315,31,163,115,46,23,62,73,17,14,67,83,85,80,0,44,2,8,18,38,51,2
2025-03-29,AZ,191,184,7,238,18,0,1,6,213,25,158,129,29,27,37,102,11,14,63,38,45,67,0,26,3,26,11,28,64,0
2025-04-05,AZ,178,176,2,111,22,0,1,1,93,18,59,44,15,32,36,86,5,13,28,20,16,29,0,11,4,5,6,11,22,0
2025-04-12,AZ,136,131,5,93,22,0,2,3,72,20,70,50,18,26,25,58,11,9,18,15,16,23,1,15,3,7,7,9,27,2
2025-04-19,AZ,145,137,8,88,23,0,0,8,70,16,28,21,7,15,15,84,4,12,21,15,17,17,2,6,1,4,4,6,7,0
2025-04-26,AZ,118,116,2,77,11,0,1,1,65,12,20,16,4,11,25,69,6,6,20,11,13,21,0,1,3,1,1,3,11,0
2025-05-03,AZ,77,64,4,80,11,9,0,4,60,11,30,11,10,13,12,28,5,6,27,11,11,11,9,10,0,6,2,2,1,9
2025-05-10,AZ,77,68,9,53,7,0,6,3,44,9,6,4,2,9,9,43,2,7,18,10,6,10,0,2,0,0,0,0,4,0
2025-05-17,AZ,88,87,1,69,16,0,0,1,45,24,6,5,1,15,10,46,6,18,14,8,8,15,0,0,1,0,2,2,1,0
2025-05-24,AZ,78,75,3,38,15,0,0,3,33,5,10,9,1,13,19,28,1,4,10,9,5,9,0,1,0,0,2,3,4,0
2025-05-31,AZ,79,73,6,55,15,0,1,5,42,13,9,8,1,9,17,32,3,10,15,8,9,10,0,1,0,0,0,0,8,0
2025-06-07,AZ,79,75,4,32,18,0,1,3,26,6,3,3,0,8,13,36,2,4,11,1,3,11,0,0,0,0,1,1,1,0
2025-06-14,AZ,67,58,0,35,9,9,0,0,23,3,14,4,1,12,12,25,0,3,12,4,4,3,9,1,0,1,0,0,3,9
2025-06-21,AZ,80,77,3,18,13,0,0,3,17,1,2,2,0,8,15,41,1,0,4,3,3,7,0,0,0,0,1,1,0,0
2025-06-28,AZ,81,76,5,11,13,0,1,4,9,2,0,0,0,21,10,32,1,1,5,1,1,2,0,0,0,0,0,0,0,0
2025-07-05,AZ,78,72,6,24,23,0,1,5,21,3,1,1,0,9,13,27,1,2,11,2,4,4,0,0,0,0,0,1,0,0
2025-07-12,AZ,76,72,4,15,9,0,1,3,14,1,1,1,0,9,17,37,1,0,7,2,2,3,0,0,0,0,0,1,0,0
2025-07-19,AZ,80,75,5,10,21,0,1,4,9,1,0,0,0,13,9,32,0,1,1,2,2,4,0,0,0,0,0,0,0,0
2025-07-26,AZ,79,78,1,6,14,0,1,0,6,0,1,0,1,16,15,33,0,0,2,3,1,0,0,1,0,0,0,0,0,0
2025-08-02,AZ,93,86,7,5,16,0,3,4,5,0,10,10,0,17,17,36,0,0,1,0,1,3,0,0,0,1,5,2,2,0
2025-08-09,AZ,114,104,10,11,21,0,3,7,11,0,2,1,1,21,16,46,0,0,5,2,2,2,0,1,0,0,1,0,0,0
2025-08-16,AZ,127,116,11,18,27,0,3,8,18,0,0,0,0,19,24,46,0,0,5,3,4,6,0,0,0,0,0,0,0,0
2025-08-23,AZ,162,141,21,6,32,0,10,11,5,1,2,1,1,27,32,50,0,1,1,1,1,2,0,1,0,0,0,0,1,0
2025-08-30,AZ,192,172,9,27,29,11,3,6,18,0,9,0,0,28,33,82,0,0,7,3,6,2,9,0,0,0,0,0,0,9
2025-09-06,AZ,155,141,12,11,39,2,4,8,11,0,0,0,0,19,25,58,0,0,1,1,3,6,0,0,0,0,0,0,0,0
2025-09-13,AZ,138,129,7,14,26,2,3,4,12,2,1,0,1,21,27,55,0,2,1,4,3,4,0,1,0,0,0,0,0,0
2025-09-20,AZ,140,129,9,16,26,2,3,6,15,1,1,0,1,24,21,58,0,1,3,5,1,6,0,1,0,0,0,0,0,0
2025-09-27,AZ,120,113,5,13,26,2,1,4,12,1,2,0,2,14,23,50,1,0,2,3,1,6,0,2,0,0,0,0,0,0
2025-10-04,CO,73,66,7,8,10,0,1,6,8,0,2,1,1,6,15,35,0,0,0,4,0,4,0,1,0,0,0,1,0,0
2025-10-11,CO,55,50,5,6,15,0,1,4,6,0,1,0,1,6,8,21,0,0,0,3,0,3,0,1,0,0,0,0,0,0
2025-10-18,CO,51,47,4,7,6,0,0,4,6,1,2,1,1,9,13,19,0,1,0,1,3,2,0,1,0,0,1,0,0,0
2025-10-25,CO,48,42,6,9,8,0,1,5,8,1,2,1,1,3,4,27,1,0,2,1,1,4,0,1,0,0,0,1,0,0
